L1	L2	species	specimen	oligoID	nSpeciesPerOligo
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1145	3
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1123	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1124	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1125	3
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1127	8
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 2591	8
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1123	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1124	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1125	3
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1127	8
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 2591	8
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1123	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1124	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1125	3
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1127	8
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 2591	8
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1123	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1124	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1125	3
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1145	3
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1127	8
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1183	1
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1184	2
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1185	2
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 2591	8
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1129	1
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1130	1
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1131	1
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1132	2
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1133	1
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1134	1
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5642	1
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5644	2
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5645	1
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1172	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1173	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1175	1
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1172	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1173	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1172	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1173	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1173	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1175	1
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1172	3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1173	3
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1139	2
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium breve	uncultured bacterium (human infant) D5D	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium breve	uncultured bacterium (human infant) D5D	HIT 1167	2
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1139	2
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1141	2
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1142	2
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1143	1
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1145	3
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured bacterium cadhufec18e04	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured bacterium cadhufec18e04	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1123	4
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1124	4
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1145	3
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1147	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1148	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1149	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1151	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1147	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1148	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1149	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1148	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1149	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1151	1
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium cadhufec19d06	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium cadhufec19d06	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1132	2
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1153	1
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1154	1
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1155	1
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1157	1
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1158	1
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 5644	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1136	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1139	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1166	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1167	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 5417	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1136	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1139	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1166	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1167	2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1136	2
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1166	2
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	butyrate-producing bacterium T1-817	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	butyrate-producing bacterium T1-817	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1172	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1173	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1172	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1173	3
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium Adhufec027khh	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium Adhufec027khh	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Uncultured bacterium clone Eldhufec087	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1163	1
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1163	1
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1163	1
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1161	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1163	1
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1171	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 2618	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 1135	6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 1160	3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 1161	3
