L1	L2	species	specimen	oligoID
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 2591
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1123
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1124
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1125
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 16F	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1127
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 2591
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1123
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1124
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1125
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1145
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1127
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1183
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1184
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1185
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 2591
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1129
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1130
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1131
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1132
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1133
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1134
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5642
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5644
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5645
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1172
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1173
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1175
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1172
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1173
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1172
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1173
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1173
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1175
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1175
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1172
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1173
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1139
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium breve	uncultured bacterium (human infant) D5D	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium breve	uncultured bacterium (human infant) D5D	HIT 1167
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1139
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1141
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1142
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1143
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1145
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured bacterium cadhufec18e04	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured bacterium cadhufec18e04	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1123
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1124
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1145
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1147
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1148
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1149
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1151
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1147
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1148
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1149
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1151
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1147
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1148
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1149
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1151
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium cadhufec19d06	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium cadhufec19d06	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1132
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1153
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1154
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1155
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1157
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1158
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 5644
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1136
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1139
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1166
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1167
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 5417
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1136
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1139
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1166
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1167
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1136
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1166
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium longum	butyrate-producing bacterium T1-817	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium longum	butyrate-producing bacterium T1-817	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1172
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1173
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1172
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1173
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium Adhufec027khh	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium Adhufec027khh	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Uncultured bacterium clone Eldhufec087	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1163
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1163
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1163
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1163
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7B	HIT 2618
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 1135
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 1160
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 1161
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 1171
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured Bifidobacterium sp. NS2E2	HIT 2618
